Packet Size,nStaWifi,nStaH,nStaM,nStaL,nStaNRT,Score,CWminH,CWmaxH,CWminM,CWmaxM,CWminL,CWmaxL,CWminNRT,CWmaxNRT,Delay_H_mean,Delay_H_std,Loss_H_pct,Delay_M_mean,Delay_M_std,Loss_M_pct,Delay_L_mean,Delay_L_std,Loss_L_pct,Delay_NRT_mean,Delay_NRT_std,Loss_NRT_pct
256,10,3,3,2,2,0.07985017669225054,3,15,3,7,3,15,15,127,0.14399270843082723,0.06189796657824509,0.016791372689293427,0.14574849785909527,0.05510725363394564,0.011820289723250665,0.16602783144670297,0.08490879545323238,0.017271184652113414,0.20800623987381361,0.1330770260877847,0.017892021943284542
256,20,5,5,5,5,0.09904113571293725,7,63,3,127,3,7,7,15,0.16570812119498557,0.08244191573860826,0.0759923620622549,0.15021287070958067,0.06605503504457655,0.055181490311161596,0.15054523741107229,0.0697368542302641,0.031695260133768555,0.20473580925358448,0.1295896607157816,0.0063471194987030355
256,30,8,8,7,7,0.11151025473059435,3,7,7,15,15,31,15,63,0.16153609831448223,0.08820367680823282,0.09898697469649287,0.17390368665174605,0.09825779224417075,0.05965542930570167,0.17031151408330159,0.09374665667814197,0.026868869588851707,0.21039369415700548,0.1489074952754974,0.02024038889380675
256,40,10,10,10,10,0.10470077885613424,3,7,7,15,3,1023,31,1023,0.1586000255290354,0.05627997658185291,0.1046048604939418,0.15043567485229814,0.058842041306789605,0.04900410981725711,0.17842214166943982,0.10701551210841043,0.0336699665011444,0.2023288378923227,0.13865740932564785,0.017267305582638892
256,50,13,13,12,12,0.14848280869576055,3,7,7,15,15,1023,511,1023,0.31897982609550657,0.133758772671011,0.15084415287642305,0.15934074513075291,0.06735565889784478,0.06968069924151066,0.20197719640162815,0.1153131817452413,0.04508653954036479,0.8042725577903669,0.47959409463942193,0.038109265060889186
256,60,15,15,15,15,0.22089771248875065,3,31,3,31,31,255,31,1023,0.3796568388911281,0.18792209189190245,0.16874269567822786,0.23946428247022689,0.15647068317502377,0.09751293911812442,0.3933699733493208,0.3300049185820946,0.04860650379285514,0.7697685345190237,0.3710115307898312,0.02724602627517747
256,70,18,18,17,17,0.2731199886598523,3,127,3,7,15,31,15,511,0.45099838169964546,0.25382230046011944,0.22090068710358324,0.32140077519552723,0.1898924552350596,0.09752094638029507,0.5465447250194515,0.31875932703506926,0.038617654030702386,0.7869598572530554,0.4329672765733057,0.01634747782991841
256,80,20,20,20,20,0.31413871844304486,3,255,3,7,7,31,7,127,0.5238559858317358,0.30828663427182756,0.2913111225408227,0.3826472308841078,0.1970059055073612,0.13820144465343742,0.5454323776872252,0.31508850330811544,0.061406961584443476,0.7860968268352022,0.4340820284653526,0.015411993577529204
256,90,23,23,22,22,0.38956046963913576,7,15,7,15,511,1023,3,7,0.43374434382758587,0.2006779986967524,0.217253056744108,0.44779758261401903,0.2540011743577797,0.1406991020337256,1.107644859307121,0.7404871617231441,0.057142856452950364,0.9497716991225851,0.5143780244457565,0.06330841497105322
256,100,25,25,25,25,0.403474901089493,7,31,3,7,511,1023,15,31,0.5650342839175899,0.3192814329261826,0.2207118525312064,0.4345711528133438,0.22246493659885136,0.1092898001174567,1.0895705193079843,0.7156882582352635,0.0476492074876933,1.0435096988929629,0.5111361376326784,0.01838263807748719
512,10,3,3,2,2,0.11665359676263168,3,7,7,31,15,255,15,1023,0.20499561193027716,0.0838339533003074,0.026510512717931034,0.20152727349916044,0.07525523897934772,0.004269793804741573,0.2672147814686334,0.1533843889905031,0.025217244284118534,0.24376996795897132,0.1493590274277945,0.023214701433681206
512,20,5,5,5,5,0.1066949101700298,3,7,3,7,15,31,511,1023,0.19139754913361506,0.06370789293371382,0.042465854579526674,0.20091923234848919,0.07940944900461222,0.034200002350522896,0.2006977515726176,0.08911138679697217,0.013239278834275003,0.23782374197741807,0.1318937603404189,0.00620990731154647
512,30,8,8,7,7,0.13499131996032215,3,7,7,15,15,255,31,1023,0.2049666702514632,0.07415635533017806,0.09884368111267228,0.2220342247710354,0.10714173471133326,0.06398147449127434,0.23577204162050203,0.13664840899301,0.026943808630609745,0.23607466709091574,0.1355895447765083,0.025880226437009046
512,40,10,10,10,10,0.14464296032609433,3,7,7,15,15,255,15,63,0.2198063420822054,0.0882729640772566,0.14713640698287644,0.21470734425223492,0.10620373276470452,0.0693537729010063,0.22998936980147922,0.12700243917834841,0.0389181629142783,0.2489261508296705,0.15972820620876682,0.027399822289929876
512,50,13,13,12,12,0.18014341563145292,7,127,7,15,3,1023,511,1023,0.4680468790804291,0.26567268985386283,0.12300733608906045,0.2074573805808726,0.10958320434477731,0.04996981120773736,0.21244004509960424,0.11242148768448312,0.023750094919938958,0.7671556116033951,0.5248208245080614,0.034299915023568994
512,60,15,15,15,15,0.268540409002666,3,31,3,7,63,255,63,511,0.4977116625358138,0.26290419091048434,0.1873137770806541,0.29950750153143946,0.19560447075723375,0.09975949528105255,0.4452571650066701,0.39037396662525103,0.06492136489629918,0.9426296869456978,0.49227587585660304,0.03294501702769903
512,70,18,18,17,17,0.33397990689310536,3,7,7,15,15,63,15,1023,0.49210933922762967,0.22929416544287218,0.21996769645155867,0.42101430281918906,0.22701156974875758,0.11352094767775123,0.7594620911032679,0.4566024342600228,0.07484323647533131,1.0383070394256046,0.4931801316904354,0.034591304110689114
512,80,20,20,20,20,0.3799428916838896,3,7,7,15,15,1023,3,1023,0.5134714619279019,0.15422524580970598,0.22846117965466362,0.5099498728385055,0.16600776296513642,0.1275533623428382,1.0242490447484216,0.5097476673855266,0.09092344091467708,1.1010177181738845,0.47394477914856825,0.04124116110612608
512,90,23,23,22,22,0.44780709740339975,7,31,7,15,255,1023,63,255,0.6184054238869279,0.338542507311582,0.19757575097566948,0.5572232088494022,0.3169745267135575,0.09909542882686906,1.190804978781654,0.815143496459203,0.033281033540398575,1.1628345137542873,0.6791160146615631,0.03004522994283909
512,100,25,25,25,25,0.46933513663914683,7,31,7,15,511,1023,255,1023,0.6503490214501919,0.36751777116222084,0.20927149925476196,0.571785990893364,0.3560551418925675,0.11488510503495797,1.214624364820811,0.8761830769164369,0.03231915002641217,1.2249864823541836,0.6889107013714408,0.030423972655346132
1024,10,3,3,2,2,0.15496399819476336,3,15,7,127,7,31,127,1023,0.29353200643956145,0.12819136722410462,0.01729014509835447,0.3021974364318367,0.11013958898807585,0.005390611079648,0.3281062210247696,0.1633318475008314,0.021089550166436766,0.3392599613645504,0.1646684791278259,0.021490957709968894
1024,20,5,5,5,5,0.1746125554801723,3,7,7,15,127,511,15,1023,0.3109763094190001,0.10620443650452782,0.0691925692405857,0.3059617300479409,0.1205814136994392,0.040023003843644434,0.3583185729116938,0.18341961573787602,0.025605287625456885,0.3409425938337758,0.1557603597210382,0.0052307857953117765
1024,30,8,8,7,7,0.18047646200848633,3,7,7,15,15,255,127,1023,0.3045492261824816,0.10306311956943137,0.08272530223682506,0.30679745567536165,0.1163726339238047,0.053768001375194885,0.3773878901998293,0.20829942917030753,0.02194873936650854,0.332486249895958,0.14671572030983948,0.01966976635729334
1024,40,10,10,10,10,0.17383909256051186,7,31,7,15,3,15,3,7,0.30508912116806375,0.13389360929669158,0.10902355549269616,0.29289486800676734,0.12965688255793295,0.054874672673346,0.30654688937559116,0.12873839901614836,0.03514264197438366,0.3376317923042349,0.1793819605071274,0.010598411740634806
1024,50,13,13,12,12,0.24623945106211656,3,7,7,31,3,255,3,15,0.6127165321820918,0.3688365732146057,0.1543441437790185,0.30599561529624375,0.1293871383888845,0.06432363905263805,0.3212300209333392,0.14503213668429038,0.04067558577846064,1.171598614044857,0.8435146794345927,0.029894994543846254
1024,60,15,15,15,15,0.3794094934559309,3,127,3,63,15,63,511,1023,0.7950856827869086,0.4998674638715985,0.19976396598297064,0.4794357724896583,0.34045032087008553,0.09218030634476193,0.557462374347556,0.4530739161961903,0.06001772304944142,1.1661993088683489,0.7039529069867774,0.0202472676742409
1024,70,18,18,17,17,0.44459720517020584,7,31,3,7,255,1023,511,1023,0.6978716118974488,0.27791014412615733,0.15290444901978462,0.5529884273202679,0.3002052653801215,0.06455814819169214,1.1915195453366874,0.8586342929537119,0.0338629532254513,1.2163016882753572,0.5761229116941946,0.016300675652333618
1024,80,20,20,20,20,0.4810828354116443,7,63,3,7,255,1023,127,511,0.7504447958891518,0.3381297684794107,0.16721170736073332,0.6979639207227819,0.39625233529910675,0.07627094831040226,1.1585778136647642,0.8286664883236705,0.033849742402719984,1.3237787360859707,0.7011962853986089,0.03445952608571612
1024,90,23,23,22,22,0.6248168598812618,31,63,3,255,255,1023,511,1023,1.2672823498780899,0.7226119901612642,0.21448096454051124,0.86337002327994,0.6362729282893056,0.08290465113354872,1.1487564901411602,0.809419244287551,0.027947197325310258,1.4553515035106361,0.993878286538864,0.045732149737007566
1024,100,25,25,25,25,0.6442772314520158,31,127,3,1023,255,1023,255,1023,1.3627819751058614,0.7352935749844762,0.21682833753396458,0.8508467525529158,0.6166129919227139,0.0709252153915525,1.2017981918709029,0.8770565048308601,0.021758993102928725,1.488695004172917,1.0558204067484267,0.048822045778939005
